Eng,Th,Romanized
stream,กระแส,krasae
street,ถนน,thanon
strength,ความแข็งแรง,khwamkhaengraeng
stress,ความตึงเครียด,khwamtuengkhriat
stretch,ยืด,yuet
strict,เข้มงวด,khemnguat
strike,โจมตี,chomti
string,เชือก,chueak
strong,แข็งแรง,khaengraeng
strongly,เสถียร,sathian
structure,โครงสร้าง,khrongsang
struggle,การต่อสู้,kantosu
student,นักเรียน,nakrian
studio,สตูดิโอ,satudi-o
study,ศึกษา,sueksa
stuff,สิ่ง,sing
stupid,โง่,ngo
style,สไตล์,satai
subject,เรื่อง,rueang
submit,เสนอ,sanoe
substance,สสาร,sasan
succeed,ประสบความสำเร็จ,prasopkhwamsamret
success,ความสำเร็จ,khwamsamret
successful,ที่ประสบความสำเร็จ,thiprasopkhwamsamret
successfully,ประสบความสำเร็จ,prasopkhwamsamret
such,อย่างเช่น,yangchen
sudden,ฉับพลัน,chapphlan
suddenly,ทันใดนั้น,thandainan
suffer,ประสบ,prasop
sugar,น้ำตาล,namtan
suggest,แนะนำ,nanam
suggestion,ข้อเสนอแนะ,khosenoenae
suit,สูท,sut
suitable,เหมาะสม,mosom
sum,รวม,ruam
summarize,สรุป,sap
summary,สรุป,sap
summer,ฤดูร้อน,rueduron
sun,ดวงอาทิตย์,duang-athit
supermarket,ซุปเปอร์มาร์เก็ต,suppoemaket
supply,จัดหา,chatha
support,สนับสนุน,sanapsanun
supporter,ผู้สนับสนุน,phusanapsanun
suppose,สมมติ,sammti
sure,แน่ใจ,naechai
surely,อย่างแน่นอน,yangnaenon
surface,พื้นผิว,phuenphio
surgery,ศัลยกรรม,sanlayakam
surprise,แปลกใจ,plaekchai
surprised,ประหลาดใจ,pralatchai
surprising,น่าแปลกใจ,naplaekchai
surround,รอบทิศทาง,ropthitthang
surrounding,ที่ล้อมรอบ,thilomrop
survey,สำรวจ,samruat
survive,อยู่รอด,yurot
suspect,สงสัย,songsai
swear,สาบาน,saban
sweater,เสื้อกันหนาว,sueakannao
sweep,กวาด,kwat
sweet,หวาน,wan
swim,การว่ายน้ำ,kanwainam
swimming,ว่ายน้ำ,wainam
switch,สวิตซ์,sawit
symbol,สัญลักษณ์,sanlak
sympathy,ความเห็นอกเห็นใจ,khwamhenokhenchai
symptom,อาการ,akan
system,ระบบ,rabop
table,ตาราง,tarang
tablet,แท็บเล็ต,thaeplet
tail,หาง,hang
take,เอา,ao
tale,นิทาน,nithan
talent,ความสามารถพิเศษ,khwamsamatthiset
talented,มีความสามารถ,mikhwamsamat
talk,การพูดคุย,kanphutkhui
tall,สูง,sung
tank,ถัง,thang
tape,เทป,thep
target,เป้า,pao
task,งาน,ngan
taste,ลิ้มรส,limrot
tax,ภาษี,phasi
taxi,รถแท็กซี่,rotthaeksi
tea,ชา,cha
teach,สอน,son
teacher,ครู,khru
teaching,การสอน,kanson
team,ทีม,thim
tear1,tear1,yarara a
tear2,tear2,yararok
technical,วิชาการ,wichakan
technique,เทคนิค,theknik
technology,เทคโนโลยี,theknoloiyi
teenage,วัยรุ่น,wairun
teenager,วัยโจ๋,waicho
telephone,โทรศัพท์,thorasap
television,โทรทัศน์,thorathat
tell,บอก,bok
temperature,อุณหภูมิ,unhum
temporary,ชั่วคราว,chuakhrao
ten,สิบ,sip
tend,มีแนวโน้ม,minaeonom
tennis,เทนนิส,thennit
tent,เต็นท์,ten
term,วาระ,wara
terrible,น่ากลัว,naklua
test,ทดสอบ,thotsop
text,ข้อความ,khokhwam
than,กว่า,kwa
thank,ขอบคุณ,khopkhun
thanks,ขอบคุณ,khopkhun
that,ที่,thi
the,,
theatre,โรงละคร,ronglakhon
their,ของพวกเขา,khongphuakkhao
theirs,ของพวกเขา,khongphuakkhao
them,พวกเขา,phuakkhao
theme,กระทู้,krathu
themselves,ตัวเอง,tua-eng
then,แล้วก็,laeoko
theory,ทฤษฎี,thritsadi
therapy,การรักษาด้วย,kanraksaduai
there,ที่นั่น,thinan
therefore,ดังนั้น,dangnan
they,พวกเขา,phuakkhao
thick,หนา,na
thief,ขโมย,khamoi
thin,ผอม,phom
thing,สิ่ง,sing
think,คิด,khit
thinking,ความคิด,khwamkhit
third,ที่สาม,thisam
thirsty,กระหายน้ำ,krahainam
thirteen,สิบสาม,sipsam
thirty,สามสิบ,samsip
this,นี้,ni
though,แม้,mae
thought,ความคิด,khwamkhit
thousand,พัน,phan
threat,การคุกคาม,kankhukkham
threaten,ขู่,khu
three,สาม,sam
throat,ลำคอ,lamkho
through,ตลอด,talot
throughout,ตลอด,talot
throw,โยน,yon
thus,ดังนั้น,dangnan
ticket,ตั๋ว,tua
tidy,เรียบร้อย,riaproi
tie,ผูก,phuk
tight,แน่น,naen
till,จนถึง,chonthueng
time,เวลา,wela
tin,ดีบุก,dibuk
tiny,ขนาดเล็ก,khanatlek
tip,ปลาย,plai
tired,เหนื่อย,nueai
title,หัวข้อ,huakho
to,ถึง,thueng
today,ในวันนี้,naiwanni
toe,นิ้วเท้า,niothao
together,ด้วยกัน,duaikan
toilet,ห้องน้ำ,hongnam
tomato,มะเขือเทศ,makhueathet
tomorrow,วันพรุ่งนี้,wanphrungni
tone,โทน,thon
tongue,ลิ้น,lin
tonight,คืนนี้,khuenni
too,เกินไป,koenpai
tool,เครื่องมือ,khrueangmue
tooth,ฟัน,fan
top,ด้านบน,danbon
topic,หัวข้อเรื่อง,huakhorueang
total,รวม,ruam
totally,โดยสิ้นเชิง,doisinchoeng
touch,สัมผัส,samphat
tough,ยาก,yak
tour,การท่องเที่ยว,kanthongthiao
tourism,การท่องเที่ยว,kanthongthiao
tourist,นักท่องเที่ยว,nakthongthiao
towards,ไปทาง,paithang
towel,ผ้าขนหนู,phakhonnu
tower,หอคอย,hokhoi
town,ตัวเมือง,tuamueang
toy,ของเล่น,khonglen
track,ติดตาม,tittam
trade,ค้า,kha
tradition,ประเพณี,prapheni
traditional,แบบดั้งเดิม,baepdangdoem
traffic,การจราจร,kancharachon
train,รถไฟ,rotfai
trainer,ผู้ฝึกสอน,phufuekson
training,การอบรม,kan-oprom
transfer,โอน,on
transform,แปลง,plaeng
transition,การเปลี่ยนแปลง,kanplianplaeng
translate,แปลภาษา,plaephasa
translation,การแปล,kanplae
transport,ขนส่ง,khonsong
travel,การท่องเที่ยว,kanthongthiao
traveller,นักท่องเที่ยว,nakthongthiao
treat,รักษา,raksa
treatment,การรักษา,kanraksa
tree,ต้นไม้,tonmai
trend,แนวโน้ม,naeonom
trial,การทดลอง,kanthotlong
trick,เคล็ดลับ,khletlap
trip,การเดินทาง,kandoenthang
tropical,เขตร้อน,khetron
trouble,ปัญหา,panha
trousers,กางเกง,kangkeng
truck,รถบรรทุก,rotbanthuk
truly,อย่างแท้จริง,yangthaeching
trust,วางใจ,wangchai
truth,ความจริง,khwamching
try,ลอง,long
tube,หลอด,lot
tune,ทำนองเพลง,thamnongphleng
tunnel,อุโมงค์,umong
turn,กลับ,klap
twelve,สิบสอง,sipsong
twenty,ยี่สิบ,yisip
twice,สองครั้ง,songkhrang
twin,คู่,khu
two,สอง,song
type,ชนิด,chanit
typical,ตามแบบฉบับ,tambaepchabap
typically,เป็นปกติ,penpokati
tyre,ยาง,yang
ugly,น่าเกลียด,nakliat
ultimately,ในที่สุด,naithisut
umbrella,ร่ม,rom
unable,ไม่สามารถ,maisamat
uncle,ลุง,lung
uncomfortable,อึดอัด,uet-at
unconscious,ไม่ได้สติ,maidaisati
under,ภายใต้,phaitai
underground,ใต้ดิน,taidin
understand,เข้าใจ,khaochai
understanding,ความเข้าใจ,khwamkhaochai
underwear,ชุดชั้นใน,chutchannai
unemployed,ว่างงาน,wangngan
unemployment,การว่างงาน,kanwangngan
unexpected,ไม่คาดฝัน,maikhatfan
unfair,ไม่ยุติธรรม,maiyutitham
unfortunately,น่าเสียดาย,nasiadai
unhappy,ไม่มีความสุข,maimikhwamsuk
uniform,เหมือนกัน,mueankan
union,สหภาพ,sahaphap
unique,เป็นเอกลักษณ์,pen-eklak
unit,หน่วย,nuai
united,ปึกแผ่น,puekphaen
universe,จักรวาล,chakkrawan
university,มหาวิทยาลัย,mahawitthayalai
unknown,ไม่ทราบ,maisap
unless,เว้นแต่,wentae
unlike,แตกต่าง,taektang
unlikely,ไม่แน่,mainae
unnecessary,ไม่จำเป็น,maichampen
unpleasant,ไม่เป็นที่พอใจ,maipenthiphochai
until,จนกระทั่ง,chankrathang
unusual,ผิดปกติ,phitpokati
up,ขึ้น,khuen
update,ปรับปรุง,prapprung
upon,เมื่อ,muea
upper,บน,bon
upset,อารมณ์เสีย,aromsia
upstairs,ชั้นบน,chanbon
upwards,สูงกว่า,sungkwa
urban,ในเมือง,naimueang
urge,กระตุ้น,kratun
us,เรา,rao
use,ใช้,chai
used,ใช้,chai
used to,เคย,khoei
useful,มีประโยชน์,miprayot
user,ผู้ใช้งาน,phuchai-ngan
usual,ตามปกติ,tampokti
usually,มักจะ,makcha
vacation,วันหยุด,wanyut
valley,หุบเขา,hupkhao
valuable,มีคุณค่า,mikhunkha
value,ความคุ้มค่า,khwamkhumkha
van,รถตู้,rottu
variety,ความหลากหลาย,khwamlaklai
various,ต่างๆ,tango
vary,แตกต่าง,taektang
vast,กว้างใหญ่,kwangyai
vegetable,ผัก,phak
vehicle,พาหนะ,phana
venue,แห่ง,haeng
version,รุ่น,run
very,มาก,mak
via,ผ่านทาง,phanthang
victim,เหยื่อ,yuea
victory,ชัยชนะ,chaichana
video,วีดีโอ,widi-o
view,ดู,du
viewer,ผู้ชม,phuchom
village,หมู่บ้าน,muban
violence,ความรุนแรง,khwamrunraeng
violent,รุนแรง,runraeng
virtual,เสมือน,samuean
virus,ไวรัส,wairat
vision,วิสัยทัศน์,wisaithat
visit,เยือน,yuean
visitor,ผู้มาเยือน,phumayuean
visual,ภาพ,phap
vital,จำเป็น,champen
vitamin,วิตามิน,witamin
voice,เสียงพูด,siangphut
volume,ปริมาณ,pariman
volunteer,อาสาสมัคร,asasamakkhon
vote,โหวต,hot
wage,ค่าจ้าง,khachang
wait,รอ,ro
waiter,บริกร,borikon
wake,ปลุก,pluk
walk,เดิน,doen
wall,ผนัง,phanang
want,ต้องการ,tongkan
war,สงคราม,songkhram
warm,อบอุ่น,op-un
warn,เตือน,tuean
warning,คำเตือน,khamtuean
wash,ล้าง,lang
washing,การซัก,kansak
waste,ของเสีย,khongsia
watch,ดู,du
water,น้ำ,nam
wave,คลื่น,khluen
way,ทาง,thang
we,เรา,rao
weak,อ่อนแอ,on-ae
weakness,ความอ่อนแอ,khwam-on-ae
wealth,ความมั่งคั่ง,khwammangkhang
wealthy,ร่ำรวย,ramruai
weapon,อาวุธ,awut
wear,สวมใส่,suamsai
weather,สภาพอากาศ,saphap-akat
web,เว็บ,wep
website,เว็บไซต์,wepsai
wedding,งานแต่งงาน,ngantaengngan
week,สัปดาห์,sapda
weekend,สุดสัปดาห์,sutsapda
weigh,ชั่งน้ำหนัก,changnamnak
weight,น้ำหนัก,namnak
welcome,ยินดีต้อนรับ,yinditonrap
well,ดี,di
west,ทิศตะวันตก,thittawantok
western,ตะวันตก,tawantok
wet,เปียก,piak
what,อะไร,arai
whatever,อะไรก็ตาม,araikotam
wheel,ล้อ,lo
when,เมื่อไหร่,muearai
whenever,เมื่อไรก็ตาม,muearaikotam
where,ที่ไหน,thihai
whereas,แต่ทว่า,taethawa
wherever,ที่ไหนก็ตาม,thinaikotam
whether,ว่า,wa
which,ที่,thi
while,ในขณะที่,naikhanathi
whisper,กระซิบ,krasip
white,ขาว,khao
who,Who,rai
whole,ทั้งหมด,thangmot
whom,ใคร,khrai
whose,ใคร,khrai
why,ทำไม,thammai
wide,กว้าง,kwang
widely,อย่างกว้างขวาง,yangkwangkhwang
wife,ภรรยา,phanya
wild,ป่า,pa
wildlife,ธรรมชาติ,thammachat
will,จะ,cha
willing,เต็มใจ,temchai
win,ชนะ,chana
wind1,wind1,yarara a
wind2,wind2,yararok
window,หน้าต่าง,natang
wine,ไวน์,wai
wing,ปีก,pik
winner,ผู้ชนะ,phuchana
winter,ฤดูหนาว,ruedunao
wire,ลวด,luat
wise,ฉลาด,chalat
wish,ประสงค์,prasong
with,กับ,kap
within,ภายใน,phainai
without,ไม่มี,maimi
witness,พยาน,phayan
woman,หญิง,ying
wonder,น่าแปลกใจ,naplaekchai
wonderful,ยอดเยี่ยม,yotyiam
wood,ไม้,mai
wooden,ทำด้วยไม้,thamduaimai
wool,ขนสัตว์,khonsat
word,คำ,kham
work,งาน,ngan
worker,ผู้ปฏิบัติงาน,phupatibatngan
working,การทำงาน,kanthamngan
world,โลก,lok
worldwide,ทั่วโลก,thualok
worried,กังวล,kangwon
worry,กังวล,kangwon
worse,แย่ลง,yaelong
worst,แย่ที่สุด,yaethisut
worth,คุ้มค่า,khumkha
would,หากว่า,hakwa
wound,บาดแผล,batphaen
wow,ว้าว,wao
wrap,ห่อ,ho
write,เขียน,khian
writer,นักเขียน,nakkhian
writing,การเขียน,kankhian
written,เขียน,khian
wrong,ไม่ถูกต้อง,maithuktong
yard,ลาน,lan
yeah,ใช่,chai
year,ปี,pi
yellow,สีเหลือง,silueang
yes,ใช่,chai
yesterday,เมื่อวาน,mueawan
yet,ยัง,yang
you,คุณ,khun
young,หนุ่มสาว,numsao
your,ของคุณ,khongkhun
yours,ของคุณ,khongkhun
yourself,ด้วยตัวคุณเอง,duaituakhun-eng
youth,หนุ่ม,num
zero,ศูนย์,sun
zone,โซน,son
